Haplogroup_name,Haplogroup_l1,Haplogroup_l2l2a,Haplogroup_l2b,Haplogroup_R1a,Haplogroup_R1b,Haplogroup_G,Haplogroup_J2,Haplogroup_JJ1,Haplogroup_E1b1b,Haplogroup_T,Haplogroup_Q,Haplogroup_N
Aegean Islands,3,3,2.5,10,19,8.5,20,3,22,6,0,0
Albania,2,12,1.5,9,16,1.5,19.5,2,27.5,1,0,0
Alsace,8,1,3,3,55,6,8,1,10,4,1,0
Andalusia,0,9.5,0,3.5,58.5,3,10.5,2,10,3,0,0
Aragon,2,14.5,1,2,60.5,1,10.5,0,5,4,0,0
Asturias,2,2,0,2.5,58.5,8,8,2,14,3,0,0
Austria,12,7,2.5,19,32,7.5,9,1,8,1,0.5,0.5
Auvergne,2,1,1.5,5.5,52.5,9,8,3.5,12.5,4.5,0,0
Bashkirs,0,0.5,0,26,47.5,0.5,3,0,0.5,0,0,17
Basque country,0.5,5,0,0,85,1.5,2.5,0.5,2.5,0,0.5,0
Belarus,5.5,17.5,1,51,5.5,1.5,2.5,1,4,0,0,10
Belgium,12,3,4.5,4,61,4,4,1,5,1,0.5,0
Bosnia-Herzegovina,4.5,50.5,0,18,3.5,1.5,5.5,1,11.5,0.5,0.5,1
Bosniaks,4,53.5,0,18,3.5,1.5,5,0.5,9,0,0.5,1
Bosnian Croats,0,71,2,12,2,1,1,0,9,0,0,0
Bosnian Serbs,7.5,32.5,0.5,20,3.5,1,8.5,3.5,17.5,1,0,1
Brittany,8,1,4.5,0.5,80,2,2.5,0.5,0.5,0,0,0
Bulgaria,4,20,2,17,11,5,11,3,23.5,1.5,0.5,0.5
Cantabria,1,3,2,8.5,55,10.5,3,2.5,11,2.5,0,0
Castile & Leon,0.5,2,0.5,3,64,5,6,1,16,2,0,0
Castile-La-Mancha,1.5,1.5,0.5,1.5,66,8,10,4,5,2,0,0
Catalonia,2,3.5,1.5,1.5,66.5,4.5,7.5,1.5,8.5,1,0,0
Central Greece,3.5,7,3.5,11,11.5,6,19,3.5,29.5,5,0,0
Central Italy,2.5,2,1.5,3,36,11,23,5,11.5,3,0,0
Chuvashs,7,4.5,0,30,3,0,13,1.5,13,0,0,28
Corsica,0,18.5,1,0,49,7.5,14,0,8,0.5,0,0
Crete,4,7,1,9,15,9.5,34,5,11,4,0.5,0
Croatia,5.5,37,1,24,8.5,2.5,6,1,10,0.5,1,0.5
Cyprus,0.5,4,0,3.5,9.5,13,28.5,9.5,24.5,2.5,0.5,1
Czech Republic,7.5,8.5,3,33,28,5,4,1,6.5,0.5,0,2.5
Denmark,34,2,5.5,15,33,2.5,3,0,2.5,0,1,1
East Germany,16.5,1.5,5,24,36,4,2,0,7.5,1,1,1
United Kingdom (England),14,2.5,4.5,4.5,67,1.5,3.5,0,2,0.5,0.5,0
Estonia,15,3,0.5,32,8,0,1,0,2.5,3.5,0.5,34
Extremadura,3.5,5,1,0,50,5,11.5,0,18.5,5,0,0
